Alpha;Beta;Iterations
0.5;0.43;64
0.5;0.44;74
0.5;0.45;90
0.5;0.46;114
0.5;0.47;152
0.5;0.48;230
0.5;0.49;462
0.5;0.5;1000
0.51;0.0;86
0.51;0.01;45
0.51;0.02;31
0.51;0.03;23
0.51;0.04;19
0.51;0.05;15
0.51;0.06;13
0.51;0.07;11
0.51;0.08;9
0.51;0.09;8
0.51;0.1;7
0.51;0.11;9
0.51;0.12;9
0.51;0.13;9
0.51;0.14;9
0.51;0.15;8
0.51;0.16;10
0.51;0.17;10
0.51;0.18;10
0.51;0.19;10
0.51;0.2;12
0.51;0.21;12
0.51;0.22;12
0.51;0.23;14
0.51;0.24;14
0.51;0.25;14
0.51;0.26;16
0.51;0.27;16
0.51;0.28;18
0.51;0.29;18
0.51;0.3;20
0.51;0.31;20
0.51;0.32;22
0.51;0.33;24
0.51;0.34;26
0.51;0.35;28
0.51;0.36;30
0.51;0.37;32
0.51;0.38;34
0.51;0.39;38
0.51;0.4;42
0.51;0.41;46
0.51;0.42;52
0.51;0.43;58
0.51;0.44;66
0.51;0.45;75
0.51;0.46;95
0.51;0.47;123
0.51;0.48;154
0.51;0.49;1000
0.51;0.5;1000
0.51;0.51;1000
0.52;0.0;47
0.52;0.01;32
0.52;0.02;24
0.52;0.03;19
0.52;0.04;16
0.52;0.05;13
0.52;0.06;12
0.52;0.07;10
0.52;0.08;8
0.52;0.09;7
0.52;0.1;6
0.52;0.11;9
0.52;0.12;9
0.52;0.13;9
0.52;0.14;8
0.52;0.15;10
0.52;0.16;10
0.52;0.17;10
0.52;0.18;10
0.52;0.19;10
0.52;0.2;12
0.52;0.21;12
0.52;0.22;12
0.52;0.23;14
0.52;0.24;14
0.52;0.25;14
0.52;0.26;16
0.52;0.27;16
0.52;0.28;18
0.52;0.29;18
0.52;0.3;20
0.52;0.31;20
0.52;0.32;22
0.52;0.33;22
0.52;0.34;24
0.52;0.35;26
0.52;0.36;28
0.52;0.37;30
0.52;0.38;32
0.52;0.39;33
0.52;0.4;37
0.52;0.41;41
0.52;0.42;47
0.52;0.43;53
0.52;0.44;61
0.52;0.45;69
0.52;0.46;78
0.52;0.47;100
0.52;0.48;1000
0.52;0.49;1000
0.52;0.5;1000
0.52;0.51;1000
0.52;0.52;1000
0.53;0.0;33
0.53;0.01;25
0.53;0.02;20
0.53;0.03;17
0.53;0.04;14
0.53;0.05;12
0.53;0.06;10
0.53;0.07;9
0.53;0.08;8
0.53;0.09;7
0.53;0.1;8
0.53;0.11;9
0.53;0.12;8
0.53;0.13;8
0.53;0.14;8
0.53;0.15;10
0.53;0.16;10
0.53;0.17;10
0.53;0.18;10
0.53;0.19;10
0.53;0.2;12
0.53;0.21;12
0.53;0.22;12
0.53;0.23;12
0.53;0.24;14
0.53;0.25;14
0.53;0.26;14
0.53;0.27;16
0.53;0.28;16
0.53;0.29;18
0.53;0.3;18
0.53;0.31;19
0.53;0.32;20
0.53;0.33;21
0.53;0.34;23
0.53;0.35;25
0.53;0.36;25
0.53;0.37;27
0.53;0.38;31
0.53;0.39;33
0.53;0.4;37
0.53;0.41;39
0.53;0.42;43
0.53;0.43;47
0.53;0.44;52
0.53;0.45;60
0.53;0.46;72
0.53;0.47;1000
0.53;0.48;1000
0.53;0.49;1000
0.53;0.5;1000
0.53;0.51;1000
0.53;0.52;1000
0.53;0.53;1000
0.54;0.0;26
0.54;0.01;21
0.54;0.02;17
0.54;0.03;15
0.54;0.04;13
0.54;0.05;11
0.54;0.06;10
0.54;0.07;8
0.54;0.08;7
0.54;0.09;6
0.54;0.1;8
0.54;0.11;8
0.54;0.12;8
0.54;0.13;8
0.54;0.14;8
0.54;0.15;10
0.54;0.16;10
0.54;0.17;10
0.54;0.18;10
0.54;0.19;10
0.54;0.2;12
0.54;0.21;12
0.54;0.22;12
0.54;0.23;12
0.54;0.24;13
0.54;0.25;13
0.54;0.26;13
0.54;0.27;15
0.54;0.28;15
0.54;0.29;17
0.54;0.3;17
0.54;0.31;19
0.54;0.32;19
0.54;0.33;21
0.54;0.34;23
0.54;0.35;23
0.54;0.36;25
0.54;0.37;27
0.54;0.38;29
0.54;0.39;31
0.54;0.4;33
0.54;0.41;35
0.54;0.42;38
0.54;0.43;44
0.54;0.44;50
0.54;0.45;56
0.54;0.46;1000
0.54;0.47;1000
0.54;0.48;1000
0.54;0.49;1000
0.54;0.5;1000
0.54;0.51;1000
0.54;0.52;1000
0.54;0.53;1000
0.54;0.54;1000
0.55;0.0;21
0.55;0.01;18
0.55;0.02;15
0.55;0.03;13
0.55;0.04;11
0.55;0.05;10
0.55;0.06;9
0.55;0.07;8
0.55;0.08;7
0.55;0.09;6
0.55;0.1;8
0.55;0.11;8
0.55;0.12;8
0.55;0.13;8
0.55;0.14;8
0.55;0.15;9
0.55;0.16;10
0.55;0.17;10
0.55;0.18;10
0.55;0.19;9
0.55;0.2;11
0.55;0.21;11
0.55;0.22;11
0.55;0.23;13
0.55;0.24;13
0.55;0.25;13
0.55;0.26;15
0.55;0.27;15
0.55;0.28;15
0.55;0.29;17
0.55;0.3;17
0.55;0.31;19
0.55;0.32;19
0.55;0.33;21
0.55;0.34;21
0.55;0.35;23
0.55;0.36;25
0.55;0.37;27
0.55;0.38;27
0.55;0.39;29
0.55;0.4;30
0.55;0.41;34
0.55;0.42;38
0.55;0.43;42
0.55;0.44;46
0.55;0.45;1000
0.55;0.46;1000
0.55;0.47;1000
0.55;0.48;1000
0.55;0.49;1000
0.55;0.5;1000
0.55;0.51;1000
0.55;0.52;1000
0.55;0.53;1000
0.55;0.54;1000
0.55;0.55;1000
0.56;0.0;18
0.56;0.01;15
0.56;0.02;13
0.56;0.03;12
0.56;0.04;10
0.56;0.05;9
0.56;0.06;8
0.56;0.07;7
0.56;0.08;6
0.56;0.09;6
0.56;0.1;8
0.56;0.11;8
0.56;0.12;8
0.56;0.13;8
0.56;0.14;8
0.56;0.15;9
0.56;0.16;9
0.56;0.17;9
0.56;0.18;9
0.56;0.19;9
0.56;0.2;11
0.56;0.21;11
0.56;0.22;11
0.56;0.23;13
0.56;0.24;13
0.56;0.25;13
0.56;0.26;15
0.56;0.27;15
0.56;0.28;15
0.56;0.29;17
0.56;0.3;17
0.56;0.31;19
0.56;0.32;19
0.56;0.33;21
0.56;0.34;21
0.56;0.35;23
0.56;0.36;23
0.56;0.37;24
0.56;0.38;26
0.56;0.39;28
0.56;0.4;30
0.56;0.41;34
0.56;0.42;36
0.56;0.43;38
0.56;0.44;1000
0.56;0.45;1000
0.56;0.46;1000
0.56;0.47;1000
0.56;0.48;1000
0.56;0.49;1000
0.56;0.5;1000
0.56;0.51;1000
0.56;0.52;1000
0.56;0.53;1000
0.56;0.54;1000
0.56;0.55;1000
0.56;0.56;1000
0.57;0.0;16
0.57;0.01;14
0.57;0.02;12
0.57;0.03;11
0.57;0.04;10
0.57;0.05;9
0.57;0.06;8
0.57;0.07;7
0.57;0.08;6
0.57;0.09;8
0.57;0.1;8
0.57;0.11;8
0.57;0.12;8
0.57;0.13;8
0.57;0.14;7
0.57;0.15;9
0.57;0.16;9
0.57;0.17;9
0.57;0.18;9
0.57;0.19;11
0.57;0.2;11
0.57;0.21;11
0.57;0.22;11
0.57;0.23;13
0.57;0.24;13
0.57;0.25;13
0.57;0.26;13
0.57;0.27;15
0.57;0.28;15
0.57;0.29;17
0.57;0.3;17
0.57;0.31;17
0.57;0.32;19
0.57;0.33;19
0.57;0.34;19
0.57;0.35;21
0.57;0.36;22
0.57;0.37;24
0.57;0.38;26
0.57;0.39;28
0.57;0.4;30
0.57;0.41;32
0.57;0.42;32
0.57;0.43;1000
0.57;0.44;1000
0.57;0.45;1000
0.57;0.46;1000
0.57;0.47;1000
0.57;0.48;1000
0.57;0.49;1000
0.57;0.5;1000
0.57;0.51;1000
0.57;0.52;1000
0.57;0.53;1000
0.57;0.54;1000
0.57;0.55;1000
0.57;0.56;1000
0.57;0.57;1000
0.58;0.0;14
0.58;0.01;13
0.58;0.02;11
0.58;0.03;10
0.58;0.04;9
0.58;0.05;8
0.58;0.06;7
0.58;0.07;6
0.58;0.08;6
0.58;0.09;8
0.58;0.1;8
0.58;0.11;8
0.58;0.12;8
0.58;0.13;7
0.58;0.14;9
0.58;0.15;9
0.58;0.16;9
0.58;0.17;9
0.58;0.18;9
0.58;0.19;11
0.58;0.2;11
0.58;0.21;11
0.58;0.22;11
0.58;0.23;13
0.58;0.24;13
0.58;0.25;13
0.58;0.26;13
0.58;0.27;15
0.58;0.28;15
0.58;0.29;15
0.58;0.3;17
0.58;0.31;17
0.58;0.32;17
0.58;0.33;18
0.58;0.34;20
0.58;0.35;20
0.58;0.36;22
0.58;0.37;24
0.58;0.38;24
0.58;0.39;26
0.58;0.4;28
0.58;0.41;28
0.58;0.42;1000
0.58;0.43;1000
0.58;0.44;1000
0.58;0.45;1000
0.58;0.46;1000
0.58;0.47;1000
0.58;0.48;1000
0.58;0.49;1000
0.58;0.5;1000
0.58;0.51;1000
0.58;0.52;1000
0.58;0.53;1000
0.58;0.54;1000
0.58;0.55;1000
0.58;0.56;1000
0.58;0.57;1000
0.58;0.58;1000
0.59;0.0;13
0.59;0.01;12
0.59;0.02;10
0.59;0.03;9
0.59;0.04;8
0.59;0.05;8
0.59;0.06;7
0.59;0.07;6
0.59;0.08;6
0.59;0.09;7
0.59;0.1;8
0.59;0.11;7
0.59;0.12;7
0.59;0.13;7
0.59;0.14;9
0.59;0.15;9
0.59;0.16;9
0.59;0.17;9
0.59;0.18;9
0.59;0.19;11
0.59;0.2;11
0.59;0.21;11
0.59;0.22;11
0.59;0.23;11
0.59;0.24;13
0.59;0.25;13
0.59;0.26;13
0.59;0.27;13
0.59;0.28;15
0.59;0.29;15
0.59;0.3;16
0.59;0.31;16
0.59;0.32;16
0.59;0.33;18
0.59;0.34;20
0.59;0.35;20
0.59;0.36;22
0.59;0.37;22
0.59;0.38;24
0.59;0.39;26
0.59;0.4;26
0.59;0.41;1000
0.59;0.42;1000
0.59;0.43;1000
0.59;0.44;1000
0.59;0.45;1000
0.59;0.46;1000
0.59;0.47;1000
0.59;0.48;1000
0.59;0.49;1000
0.59;0.5;1000
0.59;0.51;1000
0.59;0.52;1000
0.59;0.53;1000
0.59;0.54;1000
0.59;0.55;1000
0.59;0.56;1000
0.59;0.57;1000
0.59;0.58;1000
0.59;0.59;1000
0.6;0.0;12
0.6;0.01;11
0.6;0.02;10
0.6;0.03;9
0.6;0.04;8
0.6;0.05;7
0.6;0.06;6
0.6;0.07;6
0.6;0.08;7
0.6;0.09;7
0.6;0.1;7
0.6;0.11;7
0.6;0.12;7
0.6;0.13;7
0.6;0.14;9
0.6;0.15;9
0.6;0.16;9
0.6;0.17;9
0.6;0.18;9
0.6;0.19;11
0.6;0.2;11
0.6;0.21;11
0.6;0.22;11
0.6;0.23;11
0.6;0.24;13
0.6;0.25;13
0.6;0.26;13
0.6;0.27;13
0.6;0.28;14
0.6;0.29;14
0.6;0.3;16
0.6;0.31;16
0.6;0.32;16
0.6;0.33;18
0.6;0.34;18
0.6;0.35;20
0.6;0.36;20
0.6;0.37;22
0.6;0.38;22
0.6;0.39;24
0.6;0.4;1000
0.6;0.41;1000
0.6;0.42;1000
0.6;0.43;1000
0.6;0.44;1000
0.6;0.45;1000
0.6;0.46;1000
0.6;0.47;1000
0.6;0.48;1000
0.6;0.49;1000
0.6;0.5;1000
0.6;0.51;1000
0.6;0.52;1000
0.6;0.53;1000
0.6;0.54;1000
0.6;0.55;1000
0.6;0.56;1000
0.6;0.57;1000
0.6;0.58;1000
0.6;0.59;1000
0.6;0.6;1000
0.61;0.0;11
0.61;0.01;10
0.61;0.02;9
0.61;0.03;8
0.61;0.04;8
0.61;0.05;7
0.61;0.06;6
0.61;0.07;6
0.61;0.08;7
0.61;0.09;7
0.61;0.1;7
0.61;0.11;7
0.61;0.12;7
0.61;0.13;7
0.61;0.14;9
0.61;0.15;9
0.61;0.16;9
0.61;0.17;9
0.61;0.18;9
0.61;0.19;9
0.61;0.2;11
0.61;0.21;11
0.61;0.22;11
0.61;0.23;11
0.61;0.24;12
0.61;0.25;12
0.61;0.26;12
0.61;0.27;12
0.61;0.28;14
0.61;0.29;14
0.61;0.3;16
0.61;0.31;16
0.61;0.32;16
0.61;0.33;18
0.61;0.34;18
0.61;0.35;20
0.61;0.36;20
0.61;0.37;20
0.61;0.38;22
0.61;0.39;1000
0.61;0.4;1000
0.61;0.41;1000
0.61;0.42;1000
0.61;0.43;1000
0.61;0.44;1000
0.61;0.45;1000
0.61;0.46;1000
0.61;0.47;1000
0.61;0.48;1000
0.61;0.49;1000
0.61;0.5;1000
0.61;0.51;1000
0.61;0.52;1000
0.61;0.53;1000
0.61;0.54;1000
0.61;0.55;1000
0.61;0.56;1000
0.61;0.57;1000
0.61;0.58;1000
0.61;0.59;1000
0.61;0.6;1000
0.61;0.61;1000
0.62;0.0;10
0.62;0.01;9
0.62;0.02;9
0.62;0.03;8
0.62;0.04;7
0.62;0.05;6
0.62;0.06;6
0.62;0.07;5
0.62;0.08;7
0.62;0.09;7
0.62;0.1;7
0.62;0.11;7
0.62;0.12;7
0.62;0.13;7
0.62;0.14;9
0.62;0.15;9
0.62;0.16;9
0.62;0.17;9
0.62;0.18;9
0.62;0.19;9
0.62;0.2;10
0.62;0.21;11
0.62;0.22;11
0.62;0.23;11
0.62;0.24;12
0.62;0.25;12
0.62;0.26;12
0.62;0.27;14
0.62;0.28;14
0.62;0.29;14
0.62;0.3;16
0.62;0.31;16
0.62;0.32;16
0.62;0.33;18
0.62;0.34;18
0.62;0.35;18
0.62;0.36;20
0.62;0.37;20
0.62;0.38;1000
0.62;0.39;1000
0.62;0.4;1000
0.62;0.41;1000
0.62;0.42;1000
0.62;0.43;1000
0.62;0.44;1000
0.62;0.45;1000
0.62;0.46;1000
0.62;0.47;1000
0.62;0.48;1000
0.62;0.49;1000
0.62;0.5;1000
0.62;0.51;1000
0.62;0.52;1000
0.62;0.53;1000
0.62;0.54;1000
0.62;0.55;1000
0.62;0.56;1000
0.62;0.57;1000
0.62;0.58;1000
0.62;0.59;1000
0.62;0.6;1000
0.62;0.61;1000
0.62;0.62;1000
0.63;0.0;10
0.63;0.01;9
0.63;0.02;8
0.63;0.03;7
0.63;0.04;7
0.63;0.05;6
0.63;0.06;6
0.63;0.07;5
0.63;0.08;7
0.63;0.09;7
0.63;0.1;7
0.63;0.11;7
0.63;0.12;7
0.63;0.13;7
0.63;0.14;9
0.63;0.15;9
0.63;0.16;9
0.63;0.17;9
0.63;0.18;9
0.63;0.19;10
0.63;0.2;10
0.63;0.21;10
0.63;0.22;10
0.63;0.23;10
0.63;0.24;12
0.63;0.25;12
0.63;0.26;12
0.63;0.27;14
0.63;0.28;14
0.63;0.29;14
0.63;0.3;14
0.63;0.31;16
0.63;0.32;16
0.63;0.33;16
0.63;0.34;18
0.63;0.35;18
0.63;0.36;18
0.63;0.37;1000
0.63;0.38;1000
0.63;0.39;1000
0.63;0.4;1000
0.63;0.41;1000
0.63;0.42;1000
0.63;0.43;1000
0.63;0.44;1000
0.63;0.45;1000
0.63;0.46;1000
0.63;0.47;1000
0.63;0.48;1000
0.63;0.49;1000
0.63;0.5;1000
0.63;0.51;1000
0.63;0.52;1000
0.63;0.53;1000
0.63;0.54;1000
0.63;0.55;1000
0.63;0.56;1000
0.63;0.57;1000
0.63;0.58;1000
0.63;0.59;1000
0.63;0.6;1000
0.63;0.61;1000
0.63;0.62;1000
0.63;0.63;1000
0.64;0.0;9
0.64;0.01;8
0.64;0.02;8
0.64;0.03;7
0.64;0.04;6
0.64;0.05;6
0.64;0.06;5
0.64;0.07;5
0.64;0.08;7
0.64;0.09;7
0.64;0.1;7
0.64;0.11;7
0.64;0.12;7
0.64;0.13;7
0.64;0.14;8
0.64;0.15;9
0.64;0.16;9
0.64;0.17;9
0.64;0.18;9
0.64;0.19;10
0.64;0.2;10
0.64;0.21;10
0.64;0.22;10
0.64;0.23;10
0.64;0.24;12
0.64;0.25;12
0.64;0.26;12
0.64;0.27;12
0.64;0.28;14
0.64;0.29;14
0.64;0.3;14
0.64;0.31;16
0.64;0.32;16
0.64;0.33;16
0.64;0.34;16
0.64;0.35;17
0.64;0.36;1000
0.64;0.37;1000
0.64;0.38;1000
0.64;0.39;1000
0.64;0.4;1000
0.64;0.41;1000
0.64;0.42;1000
0.64;0.43;1000
0.64;0.44;1000
0.64;0.45;1000
0.64;0.46;1000
0.64;0.47;1000
0.64;0.48;1000
0.64;0.49;1000
0.64;0.5;1000
0.64;0.51;1000
0.64;0.52;1000
0.64;0.53;1000
0.64;0.54;1000
0.64;0.55;1000
0.64;0.56;1000
0.64;0.57;1000
0.64;0.58;1000
0.64;0.59;1000
0.64;0.6;1000
0.64;0.61;1000
0.64;0.62;1000
0.64;0.63;1000
0.64;0.64;1000
0.65;0.0;9
0.65;0.01;8
0.65;0.02;7
0.65;0.03;7
0.65;0.04;6
0.65;0.05;6
0.65;0.06;5
0.65;0.07;6
0.65;0.08;7
0.65;0.09;7
0.65;0.1;7
0.65;0.11;7
0.65;0.12;7
0.65;0.13;8
0.65;0.14;8
0.65;0.15;8
0.65;0.16;9
0.65;0.17;9
0.65;0.18;8
0.65;0.19;10
0.65;0.2;10
0.65;0.21;10
0.65;0.22;10
0.65;0.23;10
0.65;0.24;12
0.65;0.25;12
0.65;0.26;12
0.65;0.27;12
0.65;0.28;14
0.65;0.29;14
0.65;0.3;14
0.65;0.31;14
0.65;0.32;16
0.65;0.33;16
0.65;0.34;16
0.65;0.35;1000
0.65;0.36;1000
0.65;0.37;1000
0.65;0.38;1000
0.65;0.39;1000
0.65;0.4;1000
0.65;0.41;1000
0.65;0.42;1000
0.65;0.43;1000
0.65;0.44;1000
0.65;0.45;1000
0.65;0.46;1000
0.65;0.47;1000
0.65;0.48;1000
0.65;0.49;1000
0.65;0.5;1000
0.65;0.51;1000
0.65;0.52;1000
0.65;0.53;1000
0.65;0.54;1000
0.65;0.55;1000
0.65;0.56;1000
0.65;0.57;1000
0.65;0.58;1000
0.65;0.59;1000
0.65;0.6;1000
0.65;0.61;1000
0.65;0.62;1000
0.65;0.63;1000
0.65;0.64;1000
0.65;0.65;1000
0.66;0.0;8
0.66;0.01;8
0.66;0.02;7
0.66;0.03;7
0.66;0.04;6
0.66;0.05;5
0.66;0.06;5
0.66;0.07;6
0.66;0.08;7
0.66;0.09;7
0.66;0.1;7
0.66;0.11;7
0.66;0.12;7
0.66;0.13;8
0.66;0.14;8
0.66;0.15;8
0.66;0.16;8
0.66;0.17;8
0.66;0.18;8
0.66;0.19;10
0.66;0.2;10
0.66;0.21;10
0.66;0.22;10
0.66;0.23;10
0.66;0.24;12
0.66;0.25;12
0.66;0.26;12
0.66;0.27;12
0.66;0.28;14
0.66;0.29;14
0.66;0.3;14
0.66;0.31;14
0.66;0.32;15
0.66;0.33;15
0.66;0.34;1000
0.66;0.35;1000
0.66;0.36;1000
0.66;0.37;1000
0.66;0.38;1000
0.66;0.39;1000
0.66;0.4;1000
0.66;0.41;1000
0.66;0.42;1000
0.66;0.43;1000
0.66;0.44;1000
0.66;0.45;1000
0.66;0.46;1000
0.66;0.47;1000
0.66;0.48;1000
0.66;0.49;1000
0.66;0.5;1000
0.66;0.51;1000
0.66;0.52;1000
0.66;0.53;1000
0.66;0.54;1000
0.66;0.55;1000
0.66;0.56;1000
0.66;0.57;1000
0.66;0.58;1000
0.66;0.59;1000
0.66;0.6;1000
0.66;0.61;1000
0.66;0.62;1000
0.66;0.63;1000
0.66;0.64;1000
0.66;0.65;1000
0.66;0.66;1000
0.67;0.0;8
0.67;0.01;7
0.67;0.02;7
0.67;0.03;6
0.67;0.04;6
0.67;0.05;5
0.67;0.06;5
0.67;0.07;6
0.67;0.08;7
0.67;0.09;7
0.67;0.1;7
0.67;0.11;7
0.67;0.12;7
0.67;0.13;8
0.67;0.14;8
0.67;0.15;8
0.67;0.16;8
0.67;0.17;8
0.67;0.18;8
0.67;0.19;10
0.67;0.2;10
0.67;0.21;10
0.67;0.22;10
0.67;0.23;10
0.67;0.24;12
0.67;0.25;12
0.67;0.26;12
0.67;0.27;12
0.67;0.28;12
0.67;0.29;14
0.67;0.3;14
0.67;0.31;14
0.67;0.32;15
0.67;0.33;1000
0.67;0.34;1000
0.67;0.35;1000
0.67;0.36;1000
0.67;0.37;1000
0.67;0.38;1000
0.67;0.39;1000
0.67;0.4;1000
0.67;0.41;1000
0.67;0.42;1000
0.67;0.43;1000
0.67;0.44;1000
0.67;0.45;1000
0.67;0.46;1000
0.67;0.47;1000
0.67;0.48;1000
0.67;0.49;1000
0.67;0.5;1000
0.67;0.51;1000
0.67;0.52;1000
0.67;0.53;1000
0.67;0.54;1000
0.67;0.55;1000
0.67;0.56;1000
0.67;0.57;1000
0.67;0.58;1000
0.67;0.59;1000
0.67;0.6;1000
0.67;0.61;1000
0.67;0.62;1000
0.67;0.63;1000
0.67;0.64;1000
0.67;0.65;1000
0.67;0.66;1000
0.67;0.67;1000
0.68;0.0;8
0.68;0.01;7
0.68;0.02;7
0.68;0.03;6
0.68;0.04;5
0.68;0.05;5
0.68;0.06;6
0.68;0.07;6
0.68;0.08;7
0.68;0.09;7
0.68;0.1;7
0.68;0.11;7
0.68;0.12;6
0.68;0.13;8
0.68;0.14;8
0.68;0.15;8
0.68;0.16;8
0.68;0.17;8
0.68;0.18;8
0.68;0.19;10
0.68;0.2;10
0.68;0.21;10
0.68;0.22;10
0.68;0.23;10
0.68;0.24;12
0.68;0.25;12
0.68;0.26;12
0.68;0.27;12
0.68;0.28;12
0.68;0.29;12
0.68;0.3;13
0.68;0.31;14
0.68;0.32;1000
0.68;0.33;1000
0.68;0.34;1000
0.68;0.35;1000
0.68;0.36;1000
0.68;0.37;1000
0.68;0.38;1000
0.68;0.39;1000
0.68;0.4;1000
0.68;0.41;1000
0.68;0.42;1000
0.68;0.43;1000
0.68;0.44;1000
0.68;0.45;1000
0.68;0.46;1000
0.68;0.47;1000
0.68;0.48;1000
0.68;0.49;1000
0.68;0.5;1000
0.68;0.51;1000
0.68;0.52;1000
0.68;0.53;1000
0.68;0.54;1000
0.68;0.55;1000
0.68;0.56;1000
0.68;0.57;1000
0.68;0.58;1000
0.68;0.59;1000
0.68;0.6;1000
0.68;0.61;1000
0.68;0.62;1000
0.68;0.63;1000
0.68;0.64;1000
0.68;0.65;1000
0.68;0.66;1000
0.68;0.67;1000
0.68;0.68;1000
0.69;0.0;7
0.69;0.01;7
0.69;0.02;6
0.69;0.03;6
0.69;0.04;5
0.69;0.05;5
0.69;0.06;6
0.69;0.07;6
0.69;0.08;6
0.69;0.09;7
0.69;0.1;6
0.69;0.11;6
0.69;0.12;8
0.69;0.13;8
0.69;0.14;8
0.69;0.15;8
0.69;0.16;8
0.69;0.17;8
0.69;0.18;8
0.69;0.19;10
0.69;0.2;10
0.69;0.21;10
0.69;0.22;10
0.69;0.23;10
0.69;0.24;10
0.69;0.25;12
0.69;0.26;12
0.69;0.27;12
0.69;0.28;12
0.69;0.29;13
0.69;0.3;13
0.69;0.31;1000
0.69;0.32;1000
0.69;0.33;1000
0.69;0.34;1000
0.69;0.35;1000
0.69;0.36;1000
0.69;0.37;1000
0.69;0.38;1000
0.69;0.39;1000
0.69;0.4;1000
0.69;0.41;1000
0.69;0.42;1000
0.69;0.43;1000
0.69;0.44;1000
0.69;0.45;1000
0.69;0.46;1000
0.69;0.47;1000
0.69;0.48;1000
0.69;0.49;1000
0.69;0.5;1000
0.69;0.51;1000
0.69;0.52;1000
0.69;0.53;1000
0.69;0.54;1000
0.69;0.55;1000
0.69;0.56;1000
0.69;0.57;1000
0.69;0.58;1000
0.69;0.59;1000
0.69;0.6;1000
0.69;0.61;1000
0.69;0.62;1000
0.69;0.63;1000
0.69;0.64;1000
0.69;0.65;1000
0.69;0.66;1000
0.69;0.67;1000
0.69;0.68;1000
0.69;0.69;1000
0.7;0.0;7
0.7;0.01;7
0.7;0.02;6
0.7;0.03;6
0.7;0.04;5
0.7;0.05;5
0.7;0.06;6
0.7;0.07;6
0.7;0.08;6
0.7;0.09;6
0.7;0.1;6
0.7;0.11;6
0.7;0.12;8
0.7;0.13;8
0.7;0.14;8
0.7;0.15;8
0.7;0.16;8
0.7;0.17;8
0.7;0.18;8
0.7;0.19;10
0.7;0.2;10
0.7;0.21;10
0.7;0.22;10
0.7;0.23;10
0.7;0.24;10
0.7;0.25;10
0.7;0.26;12
0.7;0.27;12
0.7;0.28;12
0.7;0.29;13
0.7;0.3;1000
0.7;0.31;1000
0.7;0.32;1000
0.7;0.33;1000
0.7;0.34;1000
0.7;0.35;1000
0.7;0.36;1000
0.7;0.37;1000
0.7;0.38;1000
0.7;0.39;1000
0.7;0.4;1000
0.7;0.41;1000
0.7;0.42;1000
0.7;0.43;1000
0.7;0.44;1000
0.7;0.45;1000
0.7;0.46;1000
0.7;0.47;1000
0.7;0.48;1000
0.7;0.49;1000
0.7;0.5;1000
0.7;0.51;1000
0.7;0.52;1000
0.7;0.53;1000
0.7;0.54;1000
0.7;0.55;1000
0.7;0.56;1000
0.7;0.57;1000
0.7;0.58;1000
0.7;0.59;1000
0.7;0.6;1000
0.7;0.61;1000
0.7;0.62;1000
0.7;0.63;1000
0.7;0.64;1000
0.7;0.65;1000
0.7;0.66;1000
0.7;0.67;1000
0.7;0.68;1000
0.7;0.69;1000
0.7;0.7;1000
0.71;0.0;7
0.71;0.01;6
0.71;0.02;6
0.71;0.03;5
0.71;0.04;5
0.71;0.05;5
0.71;0.06;6
0.71;0.07;6
0.71;0.08;6
0.71;0.09;6
0.71;0.1;6
0.71;0.11;6
0.71;0.12;8
0.71;0.13;8
0.71;0.14;8
0.71;0.15;8
0.71;0.16;8
0.71;0.17;8
0.71;0.18;8
0.71;0.19;10
0.71;0.2;10
0.71;0.21;10
0.71;0.22;10
0.71;0.23;10
0.71;0.24;10
0.71;0.25;11
0.71;0.26;11
0.71;0.27;12
0.71;0.28;12
0.71;0.29;1000
0.71;0.3;1000
0.71;0.31;1000
0.71;0.32;1000
0.71;0.33;1000
0.71;0.34;1000
0.71;0.35;1000
0.71;0.36;1000
0.71;0.37;1000
0.71;0.38;1000
0.71;0.39;1000
0.71;0.4;1000
0.71;0.41;1000
0.71;0.42;1000
0.71;0.43;1000
0.71;0.44;1000
0.71;0.45;1000
0.71;0.46;1000
0.71;0.47;1000
0.71;0.48;1000
0.71;0.49;1000
0.71;0.5;1000
0.71;0.51;1000
0.71;0.52;1000
0.71;0.53;1000
0.71;0.54;1000
0.71;0.55;1000
0.71;0.56;1000
0.71;0.57;1000
0.71;0.58;1000
0.71;0.59;1000
0.71;0.6;1000
0.71;0.61;1000
0.71;0.62;1000
0.71;0.63;1000
0.71;0.64;1000
0.71;0.65;1000
0.71;0.66;1000
0.71;0.67;1000
0.71;0.68;1000
0.71;0.69;1000
0.71;0.7;1000
0.71;0.71;1000
0.72;0.0;7
0.72;0.01;6
0.72;0.02;6
0.72;0.03;5
0.72;0.04;5
0.72;0.05;6
0.72;0.06;6
0.72;0.07;6
0.72;0.08;6
0.72;0.09;6
0.72;0.1;6
0.72;0.11;6
0.72;0.12;8
0.72;0.13;8
0.72;0.14;8
0.72;0.15;8
0.72;0.16;8
0.72;0.17;8
0.72;0.18;8
0.72;0.19;8
0.72;0.2;10
0.72;0.21;10
0.72;0.22;10
0.72;0.23;10
0.72;0.24;10
0.72;0.25;11
0.72;0.26;11
0.72;0.27;11
0.72;0.28;1000
0.72;0.29;1000
0.72;0.3;1000
0.72;0.31;1000
0.72;0.32;1000
0.72;0.33;1000
0.72;0.34;1000
0.72;0.35;1000
0.72;0.36;1000
0.72;0.37;1000
0.72;0.38;1000
